bhk,type,area_sq_ft,location,price_lakh,carpet_area,status,bathrooms
2,Independent,1170,Deva Road,36,1000,StatusReady,2
1,Independent,402,Kanpur Road,9.9,375,StatusReady,1
2,Independent,900,Kanpur Road,25,800,StatusReady,2
1,Independent,402,Kanpur Road,8.9,375,StatusReady,1
2,Independent,1170,Faizabad Road,32,100,StatusReady,2
2,Independent,1170,Faizabad Road,32,1000,StatusReady,2
2,Independent,1400,Indira Nagar,34,1200,StatusReady,2
2,Independent,1200,Nawabganj,30,1000,StatusReady,2
2,Independent,1200,Gomti Nagar,49.75,1100,StatusReady,2
2,Independent,1150,Krishna Nagar,43.7,800,StatusReady,2
2,Independent,1150,Faizabad Road,32,1000,StatusReady,2
2,Independent,1400,Indira Nagar,34,1250,StatusReady,2
2,Independent,750,Bakshi Ka Talab,17.5,600,StatusReady,1
2,Villa,1039,Bijnor Road,47.5,521,StatusReady,2
3,Villa,1617,Faizabad Road,45,890,StatusUnder,3
2,Villa,1216,Faizabad Road,40,816,StatusUnder,3
1,Independent,350,Golf City,25,275,StatusUnder,2
2,Villa,1000,Kursi Road,40,934,StatusReady,2
2,Independent,900,Sitapur Road,22.5,700,StatusReady,1
2,Villa,750,Amity University Road,37,,StatusReady,2
2,Villa,1000,Kursi Road,30,740,StatusReady,1
2,Villa,900,Sitapur Road,22.5,700,StatusReady,1
2,Independent,1150,Chinhat,50,1143,StatusReady,2
2,Villa,1000,Jankipuram Extension,38,999,StatusReady,2
2,Villa,800,Jankipuram Extension,30.4,799,StatusReady,2
2,Villa,1250,Faizabad Road,47,1008,StatusReady,1
2,Villa,1250,Faizabad Road,47,1008,StatusUnder,2
2,Villa,1000,Uattardhona,49.5,,StatusReady,2
3,Villa,1500,Amity University Road,49.9,1000,StatusReady,3
1,Independent,520,Jankipuram,12,440,StatusReady,1
2,Villa,1250,Uattardhona,45,,StatusReady,2
2,Villa,1250,Faizabad Road,50,1015,StatusReady,2
2,Villa,1200,Faizabad Road,47,1000,StatusReady,2
2,Villa,1300,Faizabad Road,47,1100,StatusReady,2
2,Villa,1250,Faizabad Road,45,1000,StatusReady,2
2,Independent,1200,Kursi Road,36,,StatusUnder,2
2,Independent,900,Bakshi Ka Talab,22.5,,StatusReady,2
2,Independent,1260,Kursi Road,45,786,StatusReady,2
