Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,21.807779,21.807779,19.855696,20.953398,20.953398,2465431878
2023-05-15,20.953228,21.485640,19.508217,19.609438,19.609438,1640443934
2023-05-22,19.612019,21.150990,18.892263,20.798578,20.798578,1579433684
2023-05-29,20.800047,22.284592,20.297682,21.818975,21.818975,1751353359
2023-06-05,21.821796,22.042025,13.379449,15.558776,15.558776,3824389748
2023-06-12,15.557232,16.065783,14.195953,15.438235,15.438235,1955047329
2023-06-19,15.438766,17.698505,15.414377,16.971380,16.971380,1987074182
2023-06-26,16.969646,19.855125,15.747582,19.453594,19.453594,3567186322
2023-07-03,19.452414,22.403002,18.498629,21.349005,21.349005,3921336492
2023-07-10,21.347788,30.057695,20.572586,27.384083,27.384083,7327031606
2023-07-17,27.385769,28.380919,24.250967,24.766815,24.766815,3954121855
2023-07-24,24.765520,25.586376,22.864363,24.261019,24.261019,3045802395
2023-07-31,24.261839,24.750183,22.327997,23.185696,23.185696,2517826418
2023-08-07,23.185406,25.111952,22.487352,24.242886,24.242886,2466964971
2023-08-14,24.242403,25.241121,20.304153,21.773275,21.773275,2700193328
2023-08-21,21.773264,21.988443,19.735468,20.786839,20.786839,2053753745
2023-08-28,20.786964,21.983257,19.092510,19.578747,19.578747,1958523245
2023-09-04,19.577850,20.547443,17.870340,18.248831,18.248831,2005145078
2023-09-11,18.246708,19.416815,17.461477,18.831629,18.831629,1911998859
2023-09-18,18.832380,20.483040,18.651571,19.374290,19.374290,1440790561
2023-09-25,19.374146,24.396019,18.774216,23.836487,23.836487,1956072550
2023-10-02,23.837955,24.662073,22.628948,23.246426,23.246426,2973872991
2023-10-09,23.244909,23.353512,21.068972,21.922028,21.922028,1782515644
2023-10-16,21.922586,30.142448,21.922586,29.036682,29.036682,5010547031
2023-10-23,29.262220,33.693222,28.901739,32.822609,32.822609,7265226013
2023-10-30,32.819035,46.250900,32.394566,41.238602,41.238602,12986301282
2023-11-06,41.238564,63.415447,39.825077,56.154099,56.154099,17596118825
2023-11-13,56.180626,67.992149,51.714462,61.393559,61.393559,20981280041
2023-11-20,61.370461,61.370461,51.555916,57.642700,57.642700,10944469213
2023-11-27,57.628868,65.396255,53.714470,63.039967,63.039967,9947153379
2023-12-04,63.037769,77.502022,59.250828,74.705887,74.705887,18294156329
2023-12-11,74.714226,79.151070,64.369774,71.000519,71.000519,17131286530
2023-12-18,70.932632,117.380669,67.334404,112.485214,112.485214,28247140112
2023-12-25,112.564117,125.193893,97.668648,106.311516,106.311516,25275810346
2023-12-31,101.844177,102.842911,101.387970,101.660530,101.660530,1811223040
